# クレジット画面に表示する制作メンバーの一覧です。
# 列は 名前,役職,所属 の順です。カンマを含む値は "" で囲んでください。
# 空行と # で始まる行は無視されます。
名前,役職,所属
八幡 拓音（ヤハタ タクト）,ディレクター,バンタンゲームアカデミー東京校 4年制 大学部 ゲームプログラマー専攻 3年次
松下 皇輝（マツシタ コウキ）,リードプランナー,バンタンゲームアカデミー東京校 4年制 大学部 ゲームプログラマー専攻 3年次
東 暉人（ヒガシ アキト）,プランナー,バンタンゲームアカデミー東京校 3年制 大学部 ゲームプログラマー専攻 2年次
兼子 剛毅（カネコ ゴウキ）,プランナー,バンタンゲームアカデミー東京校 4年制 大学部 ゲームプログラマー専攻 3年次
塚本 琥珀（ツカモト コハク）,プランナー,バンタンゲームアカデミー東京校 5年制 高等部 ゲームプログラマー専攻 3年次
岡 安奈（オカ アンナ）,プランナー,バンタンゲームアカデミー東京校 2年制 専門部 ゲームプランナー専攻 1年次
野田 純伶（ノダ スミレ）,プランナー,バンタンゲームアカデミー東京校 2年制 専門部 ゲームプランナー専攻 1年次
田口 令（タグチ レイ）,プログラマー（クライアント部門リードエンジニア）,バンタンゲームアカデミー東京校 4年制 大学部 ゲームプログラマー専攻 3年次
山田 絢斗（ヤマダ アヤト）,プログラマー（クライアント部門エンジニア）,バンタンゲームアカデミー東京校 4年制 大学部 ゲームプログラマー専攻 2年次
坂本 陽（サカモト アキラ）,プログラマー（クライアント部門エンジニア）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 2年次
張 澤新（チョウ タクシン）,プログラマー（クライアント部門エンジニア）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 2年次
阿部 竜希（アベ タツキ）,プログラマー（クライアント部門エンジニア）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 2年次
山宮 翔太（ヤマミヤ ショウタ）,プログラマー（クライアント部門エンジニア）,バンタンゲームアカデミー東京校 5年制 高等部 ゲームプログラマー専攻 4年次
横障子 純（ヨコショウジ ジュン）,プログラマー（開発部門リードエンジニア）,バンタンゲームアカデミー東京校 4年制 大学部 ゲームプログラマー専攻 2年次
宮本 海翔（ミヤモト カイト）,プログラマー（開発部門エンジニア）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 2年次
富山 蒼生（トミヤマ アオイ）,プログラマー（開発部門エンジニア）,バンタンゲームアカデミー東京校 4年制 専門部 ゲームプログラマー専攻 3年次
及川 裕己（オイカワ ユウキ）,テクニカルアーティスト,バンタンゲームアカデミー東京校 5年制 高等部 ゲームプログラマー専攻 3年次
辻井 孝輔（ツジイ コウスケ）,ウェブデザイナー,バンタンゲームアカデミー東京校 5年制 高等部 ゲームプログラマー専攻 3年次
矢嶋 奏人（ヤジマ カナト）,プリプロダクション開発エンジニア,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 2年次
神田 莉穂（カンダ リホ）,サーバーサイドエンジニア,バンタンゲームアカデミー東京校 4年制 大学部 ゲームプログラマー専攻 2年次
堤伎六（ツツミ キリク）,バックエンドエンジニア,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 3年次
石野 海晴（イシノ ミハル）,UIデザイナー,バンタンゲームアカデミー東京校 2年制 専門部 イラストレーター専攻 2年次
大久保 樹（オオクボ タツキ）,3Dモデラ― （背景リードデザイナー）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 2年次
塩畑 拓弥（シオハタ タクミ）,3Dモデラ―（背景）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 2年次
富永 真浩（トミナガ マサヒロ）,3Dモデラ―（背景）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 1年次
笹谷 康太（ササヤ コウタ）,3Dモデラ―（キャラクター）,バンタンゲームアカデミー東京校 2年制 専門部 ゲームグラフィッカー専攻 2年次
山出 蒼（ヤマイデ ソラ）,3Dモデラ―（キャラクター）,バンタンゲームアカデミー東京校 2年制 専門部 ゲームグラフィッカー専攻 1年次
ドゥアルテ ロメロ セサル アウグスト,3Dモデラ―（武器）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 1年次
田中 勇衣（タナカ ユイ）,3Dモデラ―（武器）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 1年次
田村 圭（タムラ ケイ）,3Dモデラ―（武器）,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 1年次
込山 美菜（コミヤマ ミナ）,エフェクトデザイナー,バンタンゲームアカデミー 東京校 2年制 専門部 3DCGクリエイター専攻 1年次
井藤 光聖（イトウ コウセイ）,モーションデザイナー,バンタンゲームアカデミー 東京校 2年制 専門部 3DCGクリエイター専攻 1年次
阿部 駿（アベ シュン）,モーションデザイナー,バンタンゲームアカデミー 東京校 2年制 専門部 3DCGクリエイター専攻 1年次
佐澤百香（サザワ モモカ）,モーションデザイナー,バンタンゲームアカデミー 東京校 2年制 専門部 3DCGクリエイター専攻 1年次
浅井 匠（アサイ タクミ）,モーションデザイナー,バンタンゲームアカデミー 東京校 2年制 専門部 3DCGクリエイター専攻 1年次
孫 雪瑞（ソン ユキミズ）,リードイラストレーター,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 1年次
森谷 宙（モリタニ ソラ）,イラストレーター,バンタンゲームアカデミー東京校 5年制 高等部 キャラクターデザイナー専攻 3年次
小池 祥永（コイケ ショウエイ）,イラストレーター,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 1年次
井上 詩以（イノウエ シイ）,イラストレーター,バンタンゲームアカデミー東京校 3年制 専門部 ゲームグラフィッカー専攻 1年次
山部 美南（ヤマベ ミナミ）,イラストレーター,バンタンゲームアカデミー東京校 3年制 専門部 キャラクターデザイナー専攻 1年次
清水 るちあ（シミズ ルチア）,イラストレーター,バンタンゲームアカデミー東京校 3年制 専門部 キャラクターデザイナー専攻 1年次
兒玉 奨（コダマ ススム）,イラストレーター,バンタンゲームアカデミー東京校 3年制 専門部 キャラクターデザイナー専攻 1年次
白旗 佑衣（シラハタ ユイ）,イラストレーター,バンタンゲームアカデミー東京校 3年制 専門部 キャラクターデザイナー専攻 1年次
島村 花菜（シマムラ ハナ）,イラストレーター,バンタンゲームアカデミー東京校 3年制 専門部 キャラクターデザイナー専攻 1年次
大先 理子（オオサキ サトコ）,イラストレーター,バンタンゲームアカデミー東京校 3年制 専門部 キャラクターデザイナー専攻 1年次
大橋 諒輔（オオハシ リョウスケ）,リードサウンドクリエイター,バンタンゲームアカデミー東京校 2年制 専門部 サウンドクリエイター専攻 2年次
安福 真聖（ヤスフク マサト）,サウンドクリエイター,バンタンゲームアカデミー東京校 2年制 専門部 サウンドクリエイター専攻 2年次
山倉 朗成（ヤマクラ アキナリ）,サウンドクリエイター,バンタンゲームアカデミー東京校 2年制 専門部 サウンドクリエイター専攻 1年次
宮本 晴基（ミヤモト ハルキ）,サウンドクリエイター,バンタンミュージックアカデミー東京校 2年制 専門部 トラックメイク＆プロデュース専攻 1年次
高橋 輝成（タカハシ テルアキ）,サウンドクリエイター,バンタンミュージックアカデミー東京校 2年制 専門部 トラックメイク＆プロデュース専攻 1年次
工藤 樹（クドウ タツキ）,シナリオプランナー,バンタンゲームアカデミー東京校 3年制 専門部 ゲームプログラマー専攻 OB
今井 悠暉（イマイ ハルキ）,シナリオライター,KADOKAWAマンガアカデミー東京校 2年制 専門部 ノベル・シナリオ専攻 2年次
寺尾 梨王（テラオ リオ）,シナリオライター,KADOKAWAマンガアカデミー東京校 2年制 専門部 ノベル・シナリオ専攻 2年次
廣田 彩葉（ヒロタ イロハ）,声優（Symphony）,KADOKAWAバンタンアニメ・声優アカデミー東京校 3年制 高等部 声優タレント専攻 3年次
森岡 怜太郎（モリオカ レイタロウ）,声優（Triad）,KADOKAWAバンタンアニメ・声優アカデミー東京校 4年制 大学部 声優タレント・マネジメント専攻 2年次
中村 果奈（ナカムラ カナ）,声優（14号）,KADOKAWAバンタンアニメ・声優アカデミー東京校 3年制 高等部 声優タレント専攻 3年次
